ID;Number;Nationwide number;Name;Original name;Sex;Year of birth;Nationality;Military/Civilian;Selection;Year of Selection;mission number;total number of missions;Occupation;Year of mission;Mission title;Ascend shuttle;In orbit;Descend shuttle;Hours/mission;Total hrs (sum);Field21;EVA hrs/mission;Total EVA hrs
841;341;218;Jett, Brent W.;Jett, Brent W.;M;1958;U.S.;Mil;NASA- 15;1992;2;4;pilot;1997;STS-81;STS-81;STS-81;STS-81;244;1002,02;0;0;0
842;341;218;Jett, Brent W.;Jett, Brent W.;M;1958;U.S.;Mil;NASA- 16;1992;3;4;commander;2000;STS-97;STS-97;STS-97;STS-97;259;1002,02;0;0;0
843;341;218;Jett, Brent W.;Jett, Brent W.;M;1958;U.S.;Mil;NASA- 17;1992;4;4;commander;2006;STS-115;STS-115;STS-115;STS-115;283;1002,02;0;0;0
844;342;219;Scott, Winston E.;Scott, Winston E.;M;1950;U.S.;Mil;1992 NASA group 14;1992;1;2;MSP;1996;STS-72;STS-72;STS-72;STS-72;214;590;1;6,68;19,38
845;342;219;Scott, Winston E.;Scott, Winston E.;M;1950;U.S.;Mil;1992 NASA group 14;1992;2;2;MSP;1997;STS-87;STS-87;STS-87;STS-87;376;590;2;12,7;19,38
846;343;4;Wakata, Koichi;若田光一;M;1963;Japan;Civ;NASDA-2;1992;1;4;MSP;1996;STS-72;STS-72;STS-72;STS-72;214;8336,5;0;0;0
847;343;4;Wakata, Koichi;若田光一;M;1963;Japan;Civ;NASDA-2;1992;2;4;MSP;2000;STS-92;STS-92;STS-92;STS-92;309,75;8336,5;0;0;0
848;343;4;Wakata, Koichi;若田光一;M;1963;Japan;Civ;NASDA-2;1992;3;4;flight engineer;2009;18;STS-119;ISS;STS-127;3303;8336,5;0;0;0
849;343;4;Wakata, Koichi;若田光一;M;1963;Japan;Civ;NASDA-2;1992;4;4;commander;2013;38;Soyuz TMA-11M;ISS;Soyuz TMA-11M;4509,75;8336,5;0;0;0
850;344;220;Barry, Daniel T.;Barry, Daniel T.;M;1953;U.S.;Civ;NASA- 14;1992;1;3;MSP;1996;STS-72;STS-72;STS-72;STS-72;214;734;1;6,15;25,82
851;344;220;Barry, Daniel T.;Barry, Daniel T.;M;1953;U.S.;Civ;NASA- 14;1992;2;3;MSP;1999;STS-96;STS-96;STS-96;STS-96;235;734;1;7,92;25,82
852;344;220;Barry, Daniel T.;Barry, Daniel T.;M;1953;U.S.;Civ;NASA- 14;1992;3;3;MSP;2001;STS-105;STS-105;STS-105;STS-105;285;734;2;11,75;25,82
853;345;84;Onufrienko, Yuri;Юрий Иванович Онуфриенко;M;1961;U.S.S.R/Russia;Mil;TsPK-10;1989;1;2;commander;1996;21;Soyuz TM;Mir;Soyuz TM;4651;9350,77;6;30,5;42,53
854;345;84;Onufrienko, Yuri;Юрий Иванович Онуфриенко;M;1961;U.S.S.R/Russia;Mil;TsPK-11;1989;2;2;commander;2001;4;STS;ISS;STS;4699;9350,77;2;12,03;42,53
855;346;221;Horowitz, Scott J.;Horowitz, Scott J.;M;1957;U.S.;Mil;NASA- 14;1992;1;4;pilot;1996;STS-75;STS-75;STS-75;STS-75;378;1138,68;0;0;0
856;346;221;Horowitz, Scott J.;Horowitz, Scott J.;M;1957;U.S.;Mil;NASA- 15;1992;2;4;pilot;1997;STS-82;STS-82;STS-82;STS-82;277;1138,68;0;0;0
857;346;221;Horowitz, Scott J.;Horowitz, Scott J.;M;1957;U.S.;Mil;NASA- 16;1992;3;4;pilot;2000;STS-101;STS-101;STS-101;STS-101;237;1138,68;0;0;0
858;346;221;Horowitz, Scott J.;Horowitz, Scott J.;M;1957;U.S.;Mil;NASA- 17;1992;4;4;commander;2001;STS-105;STS-105;STS-105;STS-105;285;1138,68;0;0;0
859;347;2;Cheli, Maurizio;Cheli, Maurizio;M;1959;Italy;Mil;1992 ESA Group;1992;1;1;MSP;1996;STS-75;STS-75;STS-75;STS-75;377,68;377,68;0;0;0
860;348;3;Guidoni, Umberto;Guidoni, Umberto;M;1954;Italy;Civ;1996 NASA Group;1996;1;2;MSP;1996;STS-75;STS-75;STS-75;STS-75;377,67;663,17;0;0;0
861;348;3;Guidoni, Umberto;Guidoni, Umberto;M;1954;Italy;Civ;1996 NASA Group;1996;2;2;MSP;2001;STS-100;STS-100;STS-100;STS-100;285,5;663,17;0;0;0
862;349;222;Thomas, Andrew S. W.;Thomas, Andrew S. W.;M;1951;Australia;Civ;1992 NASA group;1992;1;4;MSP;1983;STS-77;STS-77;STS-77;STS-77;240;4264;0;0;6,35
863;349;222;Thomas, Andrew S. W.;Thomas, Andrew S. W.;M;1951;Australia;Civ;1992 NASA group;1992;2;4;MSP;1998;24;STS-89;Mir;STS-91;3384;4264;0;0;6,35
864;349;222;Thomas, Andrew S. W.;Thomas, Andrew S. W.;M;1951;Australia;Civ;1992 NASA group;1992;3;4;MSP;2001;STS-102;STS-102;STS-102;STS-102;307;4264;1;6,35;6,35
865;349;222;Thomas, Andrew S. W.;Thomas, Andrew S. W.;M;1951;Australia;Civ;1992 NASA group;1992;4;4;MSP;2005;STS-114;STS-114;STS-114;STS-114;333;4264;0;0;6,35
866;350;223;Linnehan, Richard M.;Linnehan, Richard M.;M;1957;U.S.;Civ;NASA- 14;1992;1;4;MSP;1996;STS-78;STS-78;STS-78;STS-78;405;1427;0;0;42,2
867;350;223;Linnehan, Richard M.;Linnehan, Richard M.;M;1957;U.S.;Civ;NASA- 14;1992;2;4;MSP;1998;STS-90;STS-90;STS-90;STS-90;382;1427;0;0;42,2
868;350;223;Linnehan, Richard M.;Linnehan, Richard M.;M;1957;U.S.;Civ;NASA- 14;1992;3;4;MSP;2002;STS-109;STS-109;STS-109;STS-109;262;1427;3;20,92;42,2
869;350;223;Linnehan, Richard M.;Linnehan, Richard M.;M;1957;U.S.;Civ;NASA- 14;1992;4;4;MSP;2008;STS-123;STS-123;STS-123;STS-123;378;1427;3;21,28;42,2
870;351;224;Brady, Charles E., Jr.;Brady, Charles E., Jr.;M;1951;U.S.;Mil;NASA- 14;1992;1;1;MSP;1996;STS-78;STS-78;STS-78;STS-78;405;405;0;0;0
871;352;6;Favier, Jean-Jacques;Favier, Jean-Jacques;M;1949;France;Civ;CNES-2;1985;1;1;PSP;1996;STS-78;STS-78;STS-78;STS-78;405,8;405,8;0;0;0
872;353;5;Robert Thirsk;Robert Thirsk;M;1953;Canada;Civ;1983 NRC Group;1983;1;2;MSP;1996;STS-78;STS-78;STS-78;STS-78;405,8;4917,8;0;0;0
873;353;5;Robert Thirsk;Robert Thirsk;M;1953;Canada;Civ;1983 NRC Group;1983;2;2;flight engineer;2009;20;Soyuz TMA-15;ISS;Soyuz TMA-15;4512;4917,8;0;0;0
874;354;85;Korzun, Valery;Валерий Григорьевич Корзун;M;1953;U.S.S.R/Russia;Mil;TsPK-8;1987;1;2;commander;1996;22;Soyuz TM;Mir;Soyuz TM;4721;9159,68;2;12,6;22,33
875;354;85;Korzun, Valery;Валерий Григорьевич Корзун;M;1953;U.S.S.R/Russia;Mil;TsPK-9;1987;2;2;commander;2002;5;STS;ISS;STS;4438;9159,68;2;9,73;22,33
876;355;7;André-Deshays, Claudie (Haigneré);André-Deshays, Claudie (Haigneré);F;1957;France;Civ;CNES-2/EAC;1985;1;2;MSP;1996;Soyuz TM-24/23;Soyuz TM-24;Soyuz TM-24;Soyuz TM-23;378,4;614,37;0;0;0
877;355;7;André-Deshays, Claudie (Haigneré);André-Deshays, Claudie (Haigneré);F;1957;France;Civ;CNES-2/EAC;1985;2;2;flight engineer;2001;Soyuz TM-33/32;Soyuz TM-33;Soyuz TM-33;Soyuz TM-32;236;614,37;0;0;0
878;356;86;Lazutkin, Aleksandr;Александр Иванович Лазуткин;M;1957;U.S.S.R/Russia;Civ;NPOE-10;1992;1;1;flight engineer;1997;23;Soyuz TM;Mir;Soyuz TM;4438;4438,12;0;0;0
879;357;8;Ewald, Reinhold;Ewald, Reinhold;M;1956;Germany;Civ;DLR-3/EAC;1990;1;1;MSP;1997;Soyuz TM-25/24;Soyuz TM-25;Soyuz TM-25;Soyuz TM-24;472,57;472,57;0;0;0
880;358;225;Kilrain-Still, Susan L.;Kilrain-Still, Susan L.;F;1961;U.S.;Mil;NASA- 15;1995;1;2;pilot;1997;STS-83;STS-83;STS-83;STS-83;95;471;0;0;0
881;358;225;Kilrain-Still, Susan L.;Kilrain-Still, Susan L.;F;1961;U.S.;Mil;NASA- 15;1995;2;2;pilot;1997;STS-94;STS-94;STS-94;STS-94;376;471;0;0;0
882;359;226;Crouch, Roger Keith;Crouch, Roger Keith;M;1940;U.S.;Civ;PS for STS-42;1995;1;2;PSP;1997;STS-83;STS-83;STS-83;STS-83;95,54;4576,07;0;0;0
883;359;226;Crouch, Roger Keith;Crouch, Roger Keith;M;1940;U.S.;Civ;PS for STS-43;1995;2;2;PSP;1997;STS-94;STS-94;STS-94;STS-94;377,01;4576,07;0;0;0
884;360;227;Linteris, Gregory Thomas;Linteris, Gregory Thomas;M;1957;U.S.;Civ;PS for STS-42;1995;1;2;PSP;1997;STS-83;STS-83;STS-83;STS-83;95,54;4576,07;0;0;0
885;360;227;Linteris, Gregory Thomas;Linteris, Gregory Thomas;M;1957;U.S.;Civ;PS for STS-43;1995;2;2;PSP;1997;STS-94;STS-94;STS-94;STS-94;377,01;4576,07;0;0;0
886;361;228;Noriega, Carlos I.;Noriega, Carlos I.;M;1959;U.S.;Mil;NASA-15;1995;1;2;MSP;1997;STS-84;STS-84;STS-84;STS-84;221;481;0;0;19,33
887;361;228;Noriega, Carlos I.;Noriega, Carlos I.;M;1959;U.S.;Mil;NASA-15;1995;2;2;MSP;2000;STS-97;STS-97;STS-97;STS-97;260;481;3;19,33;19,33
888;362;229;Lu, Edward T.;Lu, Edward T.;M;1963;U.S.;Civ;NASA- 15;1995;1;3;MSP;1997;STS-84;STS-84;STS-84;STS-84;221;4943,3;0;0;6,23
889;362;229;Lu, Edward T.;Lu, Edward T.;M;1963;U.S.;Civ;NASA- 16;1995;2;3;MSP;2000;STS-106;STS-106;STS-106;STS-106;283;4943,3;1;6,23;6,23
890;362;229;Lu, Edward T.;Lu, Edward T.;M;1963;U.S.;Civ;NASA- 17;1995;3;3;flight engineer;2003;7;Soyuz TMA-2;ISS;Soyuz TMA-2;4439;4943,3;0;0;6,23
891;363;87;Vinogradov, Pavel;Павел Владимирович Виноградов;M;1953;U.S.S.R/Russia;Civ;NPOE-10;1992;1;3;flight engineer;1997;24;Soyuz TM;Mir;Soyuz TM;4745;13126,53;5;25,27;38,4
892;363;87;Vinogradov, Pavel;Павел Владимирович Виноградов;M;1953;U.S.S.R/Russia;Civ;NPOE-10;1992;2;3;commander;2006;13;Soyuz TMA;ISS;Soyuz TMA;4390;13126,53;1;6,52;38,4
893;363;87;Vinogradov, Pavel;Павел Владимирович Виноградов;M;1953;U.S.S.R/Russia;Civ;NPOE-10;1992;3;3;commander;2013;35;Soyuz TMA;ISS;Soyuz TMA;3990;13126,53;1;6,62;38,4
894;364;230;Curbeam, Robert L., Jr.;Curbeam, Robert L., Jr.;M;1962;U.S.;Mil;NASA- 15;1994;1;3;MSP;1997;STS-85;STS-85;STS-85;STS-85;284;902;0;0;45,55
895;364;230;Curbeam, Robert L., Jr.;Curbeam, Robert L., Jr.;M;1962;U.S.;Mil;NASA- 15;1994;2;3;MSP;2001;STS-98;STS-98;STS-98;STS-98;309;902;3;19,82;45,55
896;364;230;Curbeam, Robert L., Jr.;Curbeam, Robert L., Jr.;M;1962;U.S.;Mil;NASA- 15;1994;3;3;MSP;2006;STS-116;STS-116;STS-116;STS-116;309;902;4;24,75;45,55
897;365;231;Robinson, Stephen K.;Robinson, Stephen K.;M;1955;U.S.;Civ;NASA-15;1994;1;4;MSP;1997;STS-85;STS-85;STS-85;STS-85;284;1156;0;0;20,08
898;365;231;Robinson, Stephen K.;Robinson, Stephen K.;M;1955;U.S.;Civ;NASA-15;1994;2;4;MSP;1998;STS-95;STS-95;STS-95;STS-95;213;1156;0;0;20,08
899;365;231;Robinson, Stephen K.;Robinson, Stephen K.;M;1955;U.S.;Civ;NASA-15;1994;3;4;MSP;2005;STS-114;STS-114;STS-114;STS-114;333;1156;3;20,08;20,08
900;365;231;Robinson, Stephen K.;Robinson, Stephen K.;M;1955;U.S.;Civ;NASA-15;1994;4;4;MSP;2010;STS-130;STS-130;STS-130;STS-130;330;1156;0;0;20,08
901;366;6;Bjarni Tryggvason;Bjarni Tryggvason;M;1945;Canada;Civ;1983 NRC Group;1983;1;1;PSP;1997;STS-85;STS-85;STS-85;STS-85;284;284;0;0;0
902;367;232;Bloomfield, Michael J.;Bloomfield, Michael J.;M;1959;U.S.;Mil;NASA- 15;1994;1;3;pilot;1997;STS-86;STS-86;STS-86;STS-86;259;779;0;0;0
903;367;232;Bloomfield, Michael J.;Bloomfield, Michael J.;M;1959;U.S.;Mil;NASA- 15;1994;2;3;pilot;2000;STS-97;STS-97;STS-97;STS-97;260;779;0;0;0
904;367;232;Bloomfield, Michael J.;Bloomfield, Michael J.;M;1959;U.S.;Mil;NASA- 15;1994;3;3;commander;2002;STS-110;STS-110;STS-110;STS-110;260;779;0;0;0
905;368;233;Lindsey, Steven W.;Lindsey, Steven W.;M;1960;U.S.;Mil;NASA- 15;1995;1;5;pilot;1997;STS-87;STS-87;STS-87;STS-87;376;1508;0;0;0
906;368;233;Lindsey, Steven W.;Lindsey, Steven W.;M;1960;U.S.;Mil;NASA- 16;1995;2;5;pilot;1998;STS-95;STS-95;STS-95;STS-95;213;1508;0;0;0
907;368;233;Lindsey, Steven W.;Lindsey, Steven W.;M;1960;U.S.;Mil;NASA- 17;1995;3;5;commander;2002;STS-104;STS-104;STS-104;STS-104;306;1508;0;0;0
908;368;233;Lindsey, Steven W.;Lindsey, Steven W.;M;1960;U.S.;Mil;NASA- 18;1995;4;5;commander;2006;STS-121;STS-121;STS-121;STS-121;306;1508;0;0;0
909;368;233;Lindsey, Steven W.;Lindsey, Steven W.;M;1960;U.S.;Mil;NASA- 19;1995;5;5;commander;2011;STS-133;STS-133;STS-133;STS-133;307;1508;0;0;0
910;369;234;Chawla, Kalpana;Chawla, Kalpana;F;1962;U.S.;Civ;NASA- 16;1994;1;2;MSP;1997;STS-87;STS-87;STS-87;STS-87;376;758;0;0;0
